model,model_group,accuracy,precision,recall,f1_score,roc_auc,training_time_seconds,mlflow_run_id
CatBoost,advanced,0.7095762065584487,0.31894869734878917,0.7918506909816213,0.4547351196563714,0.8206298347725526,2.3290430000051856,3afcc1b13e294fd08a654e2925dfed3e
LightGBM,advanced,0.7082035080074082,0.31771637778159145,0.7912808092320843,0.4533877551020408,0.8197164679246332,2.0078768340172246,ae5c7e0e9365480db0ad8e26dd19afff
Gradient Boosting,advanced,0.7082470857391873,0.3174393948077254,0.7891437526713208,0.45275461827693314,0.8189307274841922,10.600414209067822,1fd23f0505f74388972cecad5537f44d
XGBoost,advanced,0.7092929513018847,0.3180431654676259,0.7872916369853256,0.4530622284168238,0.8196025861250212,0.7090157920029014,269cab6fe17d4fd498be61c1a7bcfa72
Decision Tree,baseline,0.6961978429022769,0.3056366494498091,0.7756090611198176,0.4384841528734243,0.8046413798180503,,
Random Forest,baseline,0.7223009042379344,0.3261265638284951,0.7650662487533837,0.457313178624654,0.8167970608080509,,
Logistic Regression,baseline,0.7141082906634709,0.3180245735416915,0.7596523721327825,0.4483498002943031,0.8105795818036037,,
