model,accuracy,precision,recall,f1_score,roc_auc
Decision Tree,0.6961978429022769,0.3056366494498091,0.7756090611198176,0.43848415287342435,0.8046413798180503
Random Forest,0.7223009042379344,0.3261265638284951,0.7650662487533837,0.45731317862465404,0.8167970608080509
Logistic Regression,0.7141082906634709,0.3180245735416915,0.7596523721327825,0.44834980029430316,0.8105795818036037
