model,accuracy,precision,recall,f1_score,roc_auc,training_time_seconds,mlflow_run_id
CatBoost,0.7095762065584487,0.31894869734878917,0.7918506909816213,0.4547351196563714,0.8206298347725526,2.3290430000051856,3afcc1b13e294fd08a654e2925dfed3e
LightGBM,0.7082035080074082,0.31771637778159145,0.7912808092320843,0.4533877551020408,0.8197164679246332,2.0078768340172246,ae5c7e0e9365480db0ad8e26dd19afff
Gradient Boosting,0.7082470857391873,0.3174393948077254,0.7891437526713208,0.45275461827693314,0.8189307274841922,10.600414209067822,1fd23f0505f74388972cecad5537f44d
XGBoost,0.7092929513018847,0.3180431654676259,0.7872916369853256,0.4530622284168238,0.8196025861250212,0.7090157920029014,269cab6fe17d4fd498be61c1a7bcfa72
